noticia_id,tema_id,score,fecha_asignacion
3106,12,1,2026-03-06 20:41:42
3107,2,1,2026-03-06 20:41:43
3107,4,1,2026-03-06 20:41:43
3107,10,1,2026-03-06 20:41:43
3108,1,1,2026-03-06 20:41:43
3108,11,1,2026-03-06 20:41:43
3112,11,1,2026-03-06 20:41:43
3120,4,1,2026-03-06 20:41:43
3120,11,1,2026-03-06 20:41:43
3121,1,1,2026-03-06 20:41:43
3121,2,1,2026-03-06 20:41:43
3121,12,1,2026-03-06 20:41:43
3123,2,1,2026-03-06 20:41:43
3138,1,1,2026-03-06 20:41:43
3138,11,1,2026-03-06 20:41:43
3144,11,1,2026-03-06 20:41:43
3148,12,1,2026-03-06 20:41:43
3149,11,1,2026-03-06 20:41:43
3160,12,1,2026-03-06 20:41:43
3161,4,1,2026-03-06 20:41:43
3162,3,1,2026-03-06 20:41:43
3165,1,1,2026-03-06 20:41:43
3165,3,1,2026-03-06 20:41:43
3166,2,1,2026-03-06 20:41:44
3166,12,1,2026-03-06 20:41:44
3171,3,1,2026-03-06 20:41:44
3171,4,1,2026-03-06 20:41:44
3171,10,1,2026-03-06 20:41:44
3173,1,1,2026-03-06 20:41:44
3173,3,1,2026-03-06 20:41:44
3177,1,1,2026-03-06 20:41:44
3182,1,1,2026-03-06 20:41:44
3191,3,1,2026-03-06 20:41:44
3194,11,1,2026-03-06 20:41:44
3195,1,1,2026-03-06 20:41:44
3197,3,1,2026-03-06 20:41:44
3201,2,1,2026-03-06 20:41:44
3202,11,1,2026-03-06 20:41:44
3203,12,1,2026-03-06 20:41:44
3205,11,1,2026-03-06 20:41:44
3206,2,1,2026-03-06 20:41:44
3207,2,1,2026-03-06 20:41:44
3210,2,1,2026-03-06 20:41:44
3211,1,1,2026-03-06 20:41:44
3214,11,1,2026-03-06 20:41:44
3215,2,1,2026-03-06 20:41:44
3217,1,1,2026-03-06 20:41:44
3221,2,1,2026-03-06 20:41:44
3222,2,1,2026-03-06 20:41:44
3223,2,1,2026-03-06 20:41:44
3225,4,1,2026-03-06 20:41:45
3225,10,1,2026-03-06 20:41:45
3228,11,1,2026-03-06 20:41:45
3230,2,1,2026-03-06 20:41:45
3232,1,1,2026-03-06 20:41:45
3237,4,1,2026-03-06 20:41:45
3237,11,1,2026-03-06 20:41:45
3239,3,1,2026-03-06 20:41:45
3240,10,1,2026-03-06 20:41:45
3246,11,1,2026-03-06 20:41:45
3255,4,1,2026-03-06 20:41:45
3260,1,1,2026-03-06 20:41:45
3266,1,1,2026-03-06 20:41:45
3267,12,1,2026-03-06 20:41:45
3268,1,1,2026-03-06 20:41:45
3268,2,1,2026-03-06 20:41:45
3274,2,1,2026-03-06 20:41:45
3275,3,1,2026-03-06 20:41:45
3277,2,1,2026-03-06 20:41:45
3279,1,1,2026-03-06 20:41:45
3279,2,1,2026-03-06 20:41:45
3285,11,1,2026-03-06 20:41:45
